entry,at,order
"""Katelyn @ n8SGnipovE"" calls 40",2020-09-26T02:35:43.251Z,160108774325200
"""Tristan @ 5N06FS8FIV"" raises to 40 and go all in",2020-09-26T02:35:38.794Z,160108773879500
"""Aiden @ 9E_m9T7j79"" posts a big blind of 24",2020-09-26T02:35:30.512Z,160108773051306
"""Katelyn @ n8SGnipovE"" posts a small blind of 8",2020-09-26T02:35:30.512Z,160108773051305
"Your hand is 10♥, 5♣",2020-09-26T02:35:30.512Z,160108773051304
"Player stacks: #3 ""Tristan @ 5N06FS8FIV"" (40) | #5 ""Katelyn @ n8SGnipovE"" (1628) | #6 ""Aiden @ 9E_m9T7j79"" (732)",2020-09-26T02:35:30.512Z,160108773051301
"-- starting hand #99  (No Limit Texas Hold'em) (dealer: ""Tristan @ 5N06FS8FIV"") --",2020-09-26T02:35:30.512Z,160108773051300
"-- ending hand #98 --",2020-09-26T02:35:24.487Z,160108772448802
"""Tristan @ 5N06FS8FIV"" collected 40 from pot with Pair, 6's (combination: 6♣, 6♦, A♠, Q♣, J♦)",2020-09-26T02:35:24.487Z,160108772448801
"""Aiden @ 9E_m9T7j79"" collected 732 from pot with Three of a Kind, 9's (combination: 9♦, 9♥, 9♣, Q♣, J♦)",2020-09-26T02:35:24.487Z,160108772448800
"river: 6♦, 9♣, J♦, 2♣ [Q♣]",2020-09-26T02:35:21.456Z,160108772145900
"turn: 6♦, 9♣, J♦ [2♣]",2020-09-26T02:35:18.430Z,160108771843100
"flop:  [6♦, 9♣, J♦]",2020-09-26T02:35:15.412Z,160108771541400
"""Aiden @ 9E_m9T7j79"" shows a 9♦, 9♥.",2020-09-26T02:35:12.392Z,160108771239302
"""Katelyn @ n8SGnipovE"" shows a 3♣, 3♥.",2020-09-26T02:35:12.392Z,160108771239301
"""Tristan @ 5N06FS8FIV"" shows a A♠, 6♣.",2020-09-26T02:35:12.392Z,160108771239300
"""Aiden @ 9E_m9T7j79"" calls 244 and go all in",2020-09-26T02:35:11.583Z,160108771158400
"""Katelyn @ n8SGnipovE"" calls 264",2020-09-26T02:35:05.329Z,160108770533000
"""Tristan @ 5N06FS8FIV"" raises to 264 and go all in",2020-09-26T02:35:03.003Z,160108770300500
"""Aiden @ 9E_m9T7j79"" calls 24",2020-09-26T02:34:57.130Z,160108769713100
"""Katelyn @ n8SGnipovE"" posts a big blind of 24",2020-09-26T02:34:51.086Z,160108769108706
"""Tristan @ 5N06FS8FIV"" posts a small blind of 8",2020-09-26T02:34:51.086Z,160108769108705
"Your hand is 9♦, 9♥",2020-09-26T02:34:51.086Z,160108769108704
"Player stacks: #3 ""Tristan @ 5N06FS8FIV"" (264) | #5 ""Katelyn @ n8SGnipovE"" (1892) | #6 ""Aiden @ 9E_m9T7j79"" (244)",2020-09-26T02:34:51.086Z,160108769108701
"-- starting hand #98  (No Limit Texas Hold'em) (dealer: ""Aiden @ 9E_m9T7j79"") --",2020-09-26T02:34:51.086Z,160108769108700
"-- ending hand #97 --",2020-09-26T02:34:45.081Z,160108768508301
"""Tristan @ 5N06FS8FIV"" collected 264 from pot with Pair, J's (combination: J♥, J♠, K♣, Q♣, 5♦)",2020-09-26T02:34:45.081Z,160108768508300
"river: Q♣, J♠, K♣, 3♣ [4♣]",2020-09-26T02:34:42.059Z,160108768206100
"turn: Q♣, J♠, K♣ [3♣]",2020-09-26T02:34:39.041Z,160108767904300
"flop:  [Q♣, J♠, K♣]",2020-09-26T02:34:35.933Z,160108767593400
"""Aiden @ 9E_m9T7j79"" shows a A♥, 6♦.",2020-09-26T02:34:32.918Z,160108767291901
"""Tristan @ 5N06FS8FIV"" shows a J♥, 5♦.",2020-09-26T02:34:32.918Z,160108767291900
"""Aiden @ 9E_m9T7j79"" calls 120",2020-09-26T02:34:32.103Z,160108767210400
"""Katelyn @ n8SGnipovE"" folds",2020-09-26T02:34:27.365Z,160108766736500
"""Tristan @ 5N06FS8FIV"" raises to 120 and go all in",2020-09-26T02:34:25.286Z,160108766528700
"""Aiden @ 9E_m9T7j79"" raises to 78",2020-09-26T02:34:23.213Z,160108766321300
"""Katelyn @ n8SGnipovE"" calls 24",2020-09-26T02:34:05.961Z,160108764596200
"""Tristan @ 5N06FS8FIV"" posts a big blind of 24",2020-09-26T02:33:59.398Z,160108763940006
"""Aiden @ 9E_m9T7j79"" posts a small blind of 8",2020-09-26T02:33:59.398Z,160108763940005
"Your hand is A♥, 6♦",2020-09-26T02:33:59.398Z,160108763940004
"Player stacks: #3 ""Tristan @ 5N06FS8FIV"" (120) | #5 ""Katelyn @ n8SGnipovE"" (1916) | #6 ""Aiden @ 9E_m9T7j79"" (364)",2020-09-26T02:33:59.398Z,160108763940001
"-- starting hand #97  (No Limit Texas Hold'em) (dealer: ""Katelyn @ n8SGnipovE"") --",2020-09-26T02:33:59.398Z,160108763940000
"-- ending hand #96 --",2020-09-26T02:33:53.381Z,160108763338301
"""Tristan @ 5N06FS8FIV"" collected 120 from pot with Pair, K's (combination: K♦, K♣, A♣, 10♦, 8♦)",2020-09-26T02:33:53.381Z,160108763338300
"river: K♦, 3♠, 8♦, K♣ [10♦]",2020-09-26T02:33:50.369Z,160108763037100
"turn: K♦, 3♠, 8♦ [K♣]",2020-09-26T02:33:47.362Z,160108762736300
"flop:  [K♦, 3♠, 8♦]",2020-09-26T02:33:44.348Z,160108762435000
"""Katelyn @ n8SGnipovE"" shows a 4♥, J♥.",2020-09-26T02:33:41.327Z,160108762132801
"""Tristan @ 5N06FS8FIV"" shows a 7♥, A♣.",2020-09-26T02:33:41.327Z,160108762132800
"""Aiden @ 9E_m9T7j79"" folds",2020-09-26T02:33:40.521Z,160108762052200
"""Katelyn @ n8SGnipovE"" calls 48",2020-09-26T02:33:37.104Z,160108761710500
"""Tristan @ 5N06FS8FIV"" raises to 48 and go all in",2020-09-26T02:33:36.233Z,160108761623400
"""Aiden @ 9E_m9T7j79"" posts a big blind of 24",2020-09-26T02:33:33.787Z,160108761378906
"""Katelyn @ n8SGnipovE"" posts a small blind of 8",2020-09-26T02:33:33.787Z,160108761378905
"Your hand is 4♣, 2♣",2020-09-26T02:33:33.787Z,160108761378904
"Player stacks: #3 ""Tristan @ 5N06FS8FIV"" (48) | #5 ""Katelyn @ n8SGnipovE"" (1964) | #6 ""Aiden @ 9E_m9T7j79"" (388)",2020-09-26T02:33:33.787Z,160108761378901
"-- starting hand #96  (No Limit Texas Hold'em) (dealer: ""Tristan @ 5N06FS8FIV"") --",2020-09-26T02:33:33.787Z,160108761378900
"-- ending hand #95 --",2020-09-26T02:33:27.750Z,160108760775202
"""Katelyn @ n8SGnipovE"" collected 64 from pot with Q High (combination: Q♥, J♥, 8♠, 6♥, 5♦)",2020-09-26T02:33:27.750Z,160108760775201
"""Tristan @ 5N06FS8FIV"" collected 48 from pot with Pair, Q's (combination: Q♠, Q♥, K♥, J♥, 8♠)",2020-09-26T02:33:27.750Z,160108760775200
"river: 5♦, 6♥, J♥, 8♠ [Q♥]",2020-09-26T02:33:24.734Z,160108760473700
"turn: 5♦, 6♥, J♥ [8♠]",2020-09-26T02:33:21.722Z,160108760172300
"""Katelyn @ n8SGnipovE"" shows a 4♥, 3♦.",2020-09-26T02:33:18.688Z,160108759868902
"""Tristan @ 5N06FS8FIV"" shows a K♥, Q♠.",2020-09-26T02:33:18.688Z,160108759868901
"Uncalled bet of 100 returned to ""Katelyn @ n8SGnipovE""",2020-09-26T02:33:18.688Z,160108759868900
"""Aiden @ 9E_m9T7j79"" folds",2020-09-26T02:33:17.880Z,160108759788100
"""Katelyn @ n8SGnipovE"" bets 100",2020-09-26T02:33:11.499Z,160108759150200
"flop:  [5♦, 6♥, J♥]",2020-09-26T02:33:03.170Z,160108758317100
"""Katelyn @ n8SGnipovE"" calls 48",2020-09-26T02:33:02.366Z,160108758236600
"""Tristan @ 5N06FS8FIV"" calls 16 and go all in",2020-09-26T02:32:57.934Z,160108757793400
"""Aiden @ 9E_m9T7j79"" raises to 48",2020-09-26T02:32:56.371Z,160108757637100
"""Katelyn @ n8SGnipovE"" posts a big blind of 24",2020-09-26T02:32:47.636Z,160108756763806
"""Tristan @ 5N06FS8FIV"" posts a small blind of 8",2020-09-26T02:32:47.636Z,160108756763805
"Your hand is 8♣, A♣",2020-09-26T02:32:47.636Z,160108756763804
"Player stacks: #3 ""Tristan @ 5N06FS8FIV"" (16) | #5 ""Katelyn @ n8SGnipovE"" (1948) | #6 ""Aiden @ 9E_m9T7j79"" (436)",2020-09-26T02:32:47.636Z,160108756763801
"-- starting hand #95  (No Limit Texas Hold'em) (dealer: ""Aiden @ 9E_m9T7j79"") --",2020-09-26T02:32:47.636Z,160108756763800
"-- ending hand #94 --",2020-09-26T02:32:41.604Z,160108756160601
"""Katelyn @ n8SGnipovE"" collected 1948 from pot with Flush, Kd High (combination: K♦, 8♦, 6♦, 5♦, 3♦)",2020-09-26T02:32:41.604Z,160108756160600
"river: A♥, 4♣, 3♦, 8♦ [K♦]",2020-09-26T02:32:38.590Z,160108755859200
"turn: A♥, 4♣, 3♦ [8♦]",2020-09-26T02:32:35.568Z,160108755557000
"""Katelyn @ n8SGnipovE"" shows a 5♦, 6♦.",2020-09-26T02:32:32.555Z,160108755255602
"""Tristan @ 5N06FS8FIV"" shows a 2♠, 5♠.",2020-09-26T02:32:32.555Z,160108755255601
"Uncalled bet of 16 returned to ""Tristan @ 5N06FS8FIV""",2020-09-26T02:32:32.555Z,160108755255600
"""Katelyn @ n8SGnipovE"" calls 946 and go all in",2020-09-26T02:32:31.749Z,160108755175000
"""Tristan @ 5N06FS8FIV"" raises to 962 and go all in",2020-09-26T02:32:29.530Z,160108754953000
"""Katelyn @ n8SGnipovE"" bets 146",2020-09-26T02:32:27.886Z,160108754788700
"""Tristan @ 5N06FS8FIV"" checks",2020-09-26T02:32:23.961Z,160108754396200
"flop:  [A♥, 4♣, 3♦]",2020-09-26T02:32:21.207Z,160108754120900
"""Tristan @ 5N06FS8FIV"" checks",2020-09-26T02:32:20.399Z,160108754039900
"""Aiden @ 9E_m9T7j79"" folds",2020-09-26T02:32:18.995Z,160108753899600
"""Katelyn @ n8SGnipovE"" calls 24",2020-09-26T02:32:13.474Z,160108753347500
"""Tristan @ 5N06FS8FIV"" posts a big blind of 24",2020-09-26T02:32:11.393Z,160108753139406
"""Aiden @ 9E_m9T7j79"" posts a small blind of 8",2020-09-26T02:32:11.393Z,160108753139405
"Your hand is Q♣, 3♠",2020-09-26T02:32:11.393Z,160108753139404
"Player stacks: #3 ""Tristan @ 5N06FS8FIV"" (986) | #5 ""Katelyn @ n8SGnipovE"" (970) | #6 ""Aiden @ 9E_m9T7j79"" (444)",2020-09-26T02:32:11.393Z,160108753139401
"-- starting hand #94  (No Limit Texas Hold'em) (dealer: ""Katelyn @ n8SGnipovE"") --",2020-09-26T02:32:11.393Z,160108753139400
"-- ending hand #93 --",2020-09-26T02:32:05.486Z,160108752548701
"""Katelyn @ n8SGnipovE"" collected 48 from pot",2020-09-26T02:32:05.486Z,160108752548700
"""Aiden @ 9E_m9T7j79"" folds",2020-09-26T02:32:04.674Z,160108752467500
"""Katelyn @ n8SGnipovE"" calls 24",2020-09-26T02:31:59.736Z,160108751973700
"""Tristan @ 5N06FS8FIV"" folds",2020-09-26T02:31:58.847Z,160108751884800
"""Aiden @ 9E_m9T7j79"" posts a big blind of 24",2020-09-26T02:31:57.292Z,160108751729306
"""Katelyn @ n8SGnipovE"" posts a small blind of 8",2020-09-26T02:31:57.292Z,160108751729305
"Your hand is 2♣, J♠",2020-09-26T02:31:57.292Z,160108751729304
"Player stacks: #3 ""Tristan @ 5N06FS8FIV"" (986) | #5 ""Katelyn @ n8SGnipovE"" (946) | #6 ""Aiden @ 9E_m9T7j79"" (468)",2020-09-26T02:31:57.292Z,160108751729301
"-- starting hand #93  (No Limit Texas Hold'em) (dealer: ""Tristan @ 5N06FS8FIV"") --",2020-09-26T02:31:57.292Z,160108751729300
"""Katelyn @ n8SGnipovE"" shows a Q♠, 10♠.",2020-09-26T02:31:52.468Z,160108751246900
"-- ending hand #92 --",2020-09-26T02:31:50.674Z,160108751067402
"""Katelyn @ n8SGnipovE"" collected 104 from pot",2020-09-26T02:31:50.674Z,160108751067401
"Uncalled bet of 242 returned to ""Katelyn @ n8SGnipovE""",2020-09-26T02:31:50.674Z,160108751067400
"""Aiden @ 9E_m9T7j79"" folds",2020-09-26T02:31:49.868Z,160108750986800
"""Katelyn @ n8SGnipovE"" bets 242",2020-09-26T02:31:48.206Z,160108750820700
"flop:  [K♠, 4♠, 9♠]",2020-09-26T02:31:43.462Z,160108750346300
"""Katelyn @ n8SGnipovE"" calls 48",2020-09-26T02:31:42.657Z,160108750265800
"""Tristan @ 5N06FS8FIV"" folds",2020-09-26T02:31:40.692Z,160108750069300
"""Aiden @ 9E_m9T7j79"" raises to 48",2020-09-26T02:31:38.576Z,160108749857700
"""Katelyn @ n8SGnipovE"" posts a big blind of 24",2020-09-26T02:31:32.610Z,160108749261506
"""Tristan @ 5N06FS8FIV"" posts a small blind of 8",2020-09-26T02:31:32.610Z,160108749261205
"Your hand is 8♣, K♣",2020-09-26T02:31:32.610Z,160108749261204
"Player stacks: #3 ""Tristan @ 5N06FS8FIV"" (994) | #5 ""Katelyn @ n8SGnipovE"" (890) | #6 ""Aiden @ 9E_m9T7j79"" (516)",2020-09-26T02:31:32.610Z,160108749261201
"-- starting hand #92  (No Limit Texas Hold'em) (dealer: ""Aiden @ 9E_m9T7j79"") --",2020-09-26T02:31:32.610Z,160108749261200
"Undealt cards:  [6♠, A♠, 4♦, K♣, Q♠]",2020-09-26T02:31:30.895Z,160108749089500
"""Tristan @ 5N06FS8FIV"" shows a 10♠, 2♠.",2020-09-26T02:31:28.271Z,160108748827200
"-- ending hand #91 --",2020-09-26T02:31:25.971Z,160108748597202
"""Aiden @ 9E_m9T7j79"" collected 48 from pot",2020-09-26T02:31:25.971Z,160108748597201
"Uncalled bet of 51 returned to ""Aiden @ 9E_m9T7j79""",2020-09-26T02:31:25.971Z,160108748597200
"""Tristan @ 5N06FS8FIV"" folds",2020-09-26T02:31:25.165Z,160108748516600
"""Aiden @ 9E_m9T7j79"" raises to 75",2020-09-26T02:31:13.378Z,160108747337900
"""Katelyn @ n8SGnipovE"" folds",2020-09-26T02:31:08.619Z,160108746862000
"""Tristan @ 5N06FS8FIV"" posts a big blind of 24",2020-09-26T02:31:06.647Z,160108746664806
"""Aiden @ 9E_m9T7j79"" posts a small blind of 8",2020-09-26T02:31:06.647Z,160108746664805
"Your hand is 9♥, 9♦",2020-09-26T02:31:06.647Z,160108746664804
"Player stacks: #3 ""Tristan @ 5N06FS8FIV"" (1018) | #5 ""Katelyn @ n8SGnipovE"" (890) | #6 ""Aiden @ 9E_m9T7j79"" (492)",2020-09-26T02:31:06.647Z,160108746664801
"-- starting hand #91  (No Limit Texas Hold'em) (dealer: ""Katelyn @ n8SGnipovE"") --",2020-09-26T02:31:06.647Z,160108746664800
"-- ending hand #90 --",2020-09-26T02:31:00.724Z,160108746072502
"""Katelyn @ n8SGnipovE"" collected 48 from pot",2020-09-26T02:31:00.724Z,160108746072501
"Uncalled bet of 24 returned to ""Katelyn @ n8SGnipovE""",2020-09-26T02:31:00.724Z,160108746072500
"""Aiden @ 9E_m9T7j79"" folds",2020-09-26T02:30:59.917Z,160108745991800
"""Katelyn @ n8SGnipovE"" bets 24",2020-09-26T02:30:57.809Z,160108745781000
"flop:  [5♥, K♠, 9♣]",2020-09-26T02:30:48.683Z,160108744868500
"""Aiden @ 9E_m9T7j79"" checks",2020-09-26T02:30:47.878Z,160108744787900
"""Katelyn @ n8SGnipovE"" calls 24",2020-09-26T02:30:42.927Z,160108744292800
"""Tristan @ 5N06FS8FIV"" folds",2020-09-26T02:30:42.045Z,160108744204500
"""Aiden @ 9E_m9T7j79"" posts a big blind of 24",2020-09-26T02:30:40.017Z,160108744001806
"""Katelyn @ n8SGnipovE"" posts a small blind of 8",2020-09-26T02:30:40.017Z,160108744001805
"Your hand is 6♠, 7♠",2020-09-26T02:30:40.017Z,160108744001804
"Player stacks: #3 ""Tristan @ 5N06FS8FIV"" (1018) | #5 ""Katelyn @ n8SGnipovE"" (866) | #6 ""Aiden @ 9E_m9T7j79"" (516)",2020-09-26T02:30:40.017Z,160108744001801
"-- starting hand #90  (No Limit Texas Hold'em) (dealer: ""Tristan @ 5N06FS8FIV"") --",2020-09-26T02:30:40.017Z,160108744001800
"-- ending hand #89 --",2020-09-26T02:30:34.074Z,160108743407502
"""Katelyn @ n8SGnipovE"" collected 144 from pot",2020-09-26T02:30:34.074Z,160108743407501
"Uncalled bet of 122 returned to ""Katelyn @ n8SGnipovE""",2020-09-26T02:30:34.074Z,160108743407500
"""Tristan @ 5N06FS8FIV"" folds",2020-09-26T02:30:33.266Z,160108743326700
