entry,at,order
"The player ""Khinito @ AftJNm6axT"" passed the room ownership to ""Bob @ JBUISqLxPm"".",2020-08-12T04:01:27.793Z,159720488780779
"The player ""Khinito @ AftJNm6axT"" quits the game with a stack of 0.",2020-08-12T03:48:15.821Z,159720409584007
"-- ending hand #134 --",2020-08-12T03:48:09.252Z,159720408926993
"""Bob @ JBUISqLxPm"" collected 1384 from pot with Flush, As High (hand: 10♠, J♠)",2020-08-12T03:48:09.252Z,159720408926988
"river: 8♦, 6♦, A♠, 8♠ [7♠]",2020-08-12T03:48:06.216Z,159720408623371
"turn: 8♦, 6♦, A♠ [8♠]",2020-08-12T03:48:03.174Z,159720408319266
"""Bob @ JBUISqLxPm"" shows a 10♠, J♠.",2020-08-12T03:48:00.149Z,159720408016564
"""Khinito @ AftJNm6axT"" shows a Q♦, 9♣.",2020-08-12T03:48:00.149Z,159720408016562
"flop:  [8♦, 6♦, A♠]",2020-08-12T03:48:00.149Z,159720408016557
"""Bob @ JBUISqLxPm"" calls 692",2020-08-12T03:47:59.227Z,159720407924275
"""Khinito @ AftJNm6axT"" raises to 692 and go all in",2020-08-12T03:47:57.140Z,159720407715630
"""Bob @ JBUISqLxPm"" raises to 192",2020-08-12T03:47:51.569Z,159720407158495
"""Khinito @ AftJNm6axT"" calls 48",2020-08-12T03:47:47.121Z,159720406713684
"""Bob @ JBUISqLxPm"" posts a big blind of 48",2020-08-12T03:47:44.840Z,159720406485683
"""Khinito @ AftJNm6axT"" posts a small blind of 16",2020-08-12T03:47:44.840Z,159720406485682
"Player stacks: #3 ""Khinito @ AftJNm6axT"" (692) | #9 ""Bob @ JBUISqLxPm"" (1708)",2020-08-12T03:47:44.840Z,159720406485676
"-- starting hand #134  (Texas Hold'em) (dealer: ""Khinito @ AftJNm6axT"") --",2020-08-12T03:47:44.840Z,159720406485671
"-- ending hand #133 --",2020-08-12T03:47:38.304Z,159720405831994
"""Bob @ JBUISqLxPm"" collected 96 from pot",2020-08-12T03:47:38.304Z,159720405831992
"Uncalled bet of 96 returned to ""Bob @ JBUISqLxPm""",2020-08-12T03:47:38.304Z,159720405831988
"""Khinito @ AftJNm6axT"" folds",2020-08-12T03:47:36.881Z,159720405690148
"""Bob @ JBUISqLxPm"" raises to 144",2020-08-12T03:47:34.145Z,159720405416056
"""Khinito @ AftJNm6axT"" posts a big blind of 48",2020-08-12T03:47:25.360Z,159720404537892
"""Bob @ JBUISqLxPm"" posts a small blind of 16",2020-08-12T03:47:25.360Z,159720404537886
"Player stacks: #3 ""Khinito @ AftJNm6axT"" (740) | #9 ""Bob @ JBUISqLxPm"" (1660)",2020-08-12T03:47:25.360Z,159720404537879
"-- starting hand #133  (Texas Hold'em) (dealer: ""Bob @ JBUISqLxPm"") --",2020-08-12T03:47:25.360Z,159720404537876
"-- ending hand #132 --",2020-08-12T03:47:18.790Z,159720403880792
"""Bob @ JBUISqLxPm"" collected 740 from pot with Two Pair, 8's & 4's (hand: 6♠, A♦)",2020-08-12T03:47:18.790Z,159720403880790
"""Khinito @ AftJNm6axT"" collected 740 from pot with Two Pair, 8's & 4's (hand: 10♦, A♠)",2020-08-12T03:47:18.790Z,159720403880786
"""Bob @ JBUISqLxPm"" shows a 6♠, A♦.",2020-08-12T03:47:15.741Z,159720403576054
"""Khinito @ AftJNm6axT"" shows a 10♦, A♠.",2020-08-12T03:47:15.741Z,159720403576048
"river: 8♦, J♦, 4♠, 4♦ [8♠]",2020-08-12T03:47:15.741Z,159720403576043
"""Bob @ JBUISqLxPm"" calls 500",2020-08-12T03:47:14.825Z,159720403484107
"""Khinito @ AftJNm6axT"" raises to 500 and go all in",2020-08-12T03:47:08.094Z,159720402811033
"""Bob @ JBUISqLxPm"" bets 240",2020-08-12T03:47:02.767Z,159720402278285
"turn: 8♦, J♦, 4♠ [4♦]",2020-08-12T03:46:55.624Z,159720401564093
"""Khinito @ AftJNm6axT"" calls 144",2020-08-12T03:46:54.710Z,159720401472584
"""Bob @ JBUISqLxPm"" bets 144",2020-08-12T03:46:51.193Z,159720401120973
"flop:  [8♦, J♦, 4♠]",2020-08-12T03:46:43.770Z,159720400378704
"""Bob @ JBUISqLxPm"" calls 96",2020-08-12T03:46:42.857Z,159720400287315
"""Khinito @ AftJNm6axT"" raises to 96",2020-08-12T03:46:40.733Z,159720400074869
"""Bob @ JBUISqLxPm"" posts a big blind of 48",2020-08-12T03:46:36.011Z,159720399602786
"""Khinito @ AftJNm6axT"" posts a small blind of 16",2020-08-12T03:46:36.011Z,159720399602785
"Player stacks: #3 ""Khinito @ AftJNm6axT"" (740) | #9 ""Bob @ JBUISqLxPm"" (1660)",2020-08-12T03:46:36.011Z,159720399602780
"-- starting hand #132  (Texas Hold'em) (dealer: ""Khinito @ AftJNm6axT"") --",2020-08-12T03:46:36.011Z,159720399602774
"-- ending hand #131 --",2020-08-12T03:46:29.477Z,159720398949307
"""Bob @ JBUISqLxPm"" collected 96 from pot",2020-08-12T03:46:29.477Z,159720398949305
"Uncalled bet of 96 returned to ""Bob @ JBUISqLxPm""",2020-08-12T03:46:29.477Z,159720398949300
